P62204,Q91XM9
Q9JJV5,Q9Z2W9
Q62108,Q8BKX1
Q9D0M5,Q9D415
O88602,P23818
F6SEU4,Q8BJ42
P28652,Q91XM9
Q91XM9,Q9R1V6
Q8BJ42,Q91XM9
P35438,Q01097
Q91XM9,Q9JM52
P70175,Q80TE7
O88602,Q9Z2W9
P23819,Q9JJV5
Q62108,Q80ZI6
F6SEU4,P70175
P35438,Q62108
Q80Z38,Q8BKX1
P35436,P35438
Q3UH99,Q62108
F6SEU4,Q9D415
Q62443,Q9Z2W9
O88998,P23819
Q62108,Q9D415
P23818,Q9Z2W9
O88602,P23819
P62204,Q8BKX1
B1AZP2,Q4ACU6
P05784,Q9Z2W9
Q9Z2W8,Q9Z2W9
P11798,Q6PFD5
Q4ACU6,Q8BJ42
P23818,P23819
P23819,Q9Z2W9
Q8BUR4,Q9Z2W9
A2AAJ9,Q62108
P35438,Q8C031
A2AAJ9,Q811D0
Q8R3H7,Q9Z2W9
P28652,Q8BKX1
B1AXV0,P23818
Q80Z38,Q9D415
Q8BIZ1,Q91XM9
P35438,Q9CS84
Q8VHW2,Q9Z2W9
P11798,Q8BKX1
F6SEU4,Q62108
P28652,Q8BJ42
B1AXV0,Q9Z2W9
O08599,Q62108
P23818,P26231
Q8BG89,Q8BKX1
Q62108,Q811D0
P68404,Q9Z2W8
Q01097,Q62108
Q5DU25,Q62108
B1AXV0,P23819
Q8BJ42,Q9D415
Q01097,Q60823
P15105,Q9Z2W9
Q62108,Q8BIZ1
P55096,Q9Z2W9
F6SEU4,Q6PFD5
F6SEU4,P35436
P23819,Q99PH1
P23819,Q9CZN4
P62204,Q8BJ42
Q62108,Q6PFD5
P11798,Q9D415
B5TVM2,Q62108
P62204,Q62108
Q8CAQ8,Q9Z2W8
P04370,Q6PFD5
P14094,Q9Z2W9
B1AZP2,P68368
P68368,Q9D415
P70175,Q8BIZ1
O88602,Q62261
P14094,P23819
Q6PIC6,Q9Z2W9
P23818,Q9Z2W8
F6SEU4,Q91XM9
Q7TQD2,Q9Z2W9
O88737,Q8BKX1
P05784,Q8VHW2
Q62108,Q9R1V6
Q62108,Q91XM9
Q62108,Q9JJV5
Q8BKX1,Q91XM9
B1AZP2,P11798
P23819,Q9Z2W8
P23819,Q8VHW2
G5E870,P23819
P49025,Q6PFD5
Q8C3Q5,Q9Z2W9
Q4ACU6,Q8BKX1
Q8K4G5,Q91XM9
Q3V0I2,Q62108
Q6PIE5,Q91XM9
P23819,Q6PIC6
Q91XM9,Q9ESZ8
P35436,Q01097
P70175,Q91XM9
B1AZP2,P68369
Q811D0,Q91XM9
